ACACA	1.45774373764967
ACACB	1.45774373764967
AR	1.33593274285529
CASP7	1.84550892217005
COL6A1	1.29074112952774
CCNE1	1.45102972673816
ESR1	3.29023766206501
MAPK1	1.01501627244341
ERBB2	1.15368343773038
IGFBP2	1.47704225472899
INPP4B	1.18244322527163
LCK	1.42561831391096
PDCD4	1.51820402244655
PXN	1.03399910228585
RPS6	1.56594082449007
SCD1	1.5088478745119
SYK	1.57258201900629
KIT	1.97447930210101
MAPK14	1.03542057923804
ABCC11	1
ARHGAP21	1
DSPP	1
EFHD2	1
FANCE	1
NOL3	1
PEX11B	1
